/home/tiger/.local/lib/python3.7/site-packages/torch/jit/_recursive.py:222: UserWarning: 'lat_layers' was found in ScriptModule constants,  but it is a non-constant submodule. Consider removing it.
  " but it is a non-constant {}. Consider removing it.".format(name, hint))
/home/tiger/.local/lib/python3.7/site-packages/torch/jit/_recursive.py:222: UserWarning: 'pred_layers' was found in ScriptModule constants,  but it is a non-constant submodule. Consider removing it.
  " but it is a non-constant {}. Consider removing it.".format(name, hint))
/home/tiger/.local/lib/python3.7/site-packages/torch/jit/_recursive.py:222: UserWarning: 'downsample_layers' was found in ScriptModule constants,  but it is a non-constant submodule. Consider removing it.
  " but it is a non-constant {}. Consider removing it.".format(name, hint))

  0%|          | 0/957 [00:00<?, ?it/s]loading annotations into memory...
Done (t=0.36s)
creating index...
index created!
loading annotations into memory...
Done (t=0.06s)
creating index...
index created!
[0, 1, 2, 3] [64, 128, 320, 512]
[0, 1, 2, 3, 4, 5]
Initializing weights firstly...
Resuming training, loading weights/15-5/mix_transformer_7_7088_interrupt.pth...
Begin training!


epoch:[  7] iteration:   7088 || Box: 2.654 | Class: 3.197 | Mask: 3.040 | Student: 0.836 | Total: 9.728 || ETA: 0:00:00 || timer: 7.749 || lr:5e-05:   0%|          | 0/957 [00:07<?, ?it/s]
epoch:[  7] iteration:   7088 || Box: 2.654 | Class: 3.197 | Mask: 3.040 | Student: 0.836 | Total: 9.728 || ETA: 0:00:00 || timer: 7.749 || lr:5e-05:   0%|          | 1/957 [00:07<2:03:23,  7.74s/it]
epoch:[  7] iteration:   7089 || Box: 2.391 | Class: 2.701 | Mask: 2.354 | Student: 0.537 | Total: 7.983 || ETA: 1 day, 23:40:22 || timer: 1.520 || lr:5e-05:   0%|          | 1/957 [00:09<2:03:23,  7.74s/it]
epoch:[  7] iteration:   7089 || Box: 2.391 | Class: 2.701 | Mask: 2.354 | Student: 0.537 | Total: 7.983 || ETA: 1 day, 23:40:22 || timer: 1.520 || lr:5e-05:   0%|          | 2/957 [00:09<1:33:32,  5.88s/it]
epoch:[  7] iteration:   7090 || Box: 2.664 | Class: 2.761 | Mask: 2.590 | Student: 0.446 | Total: 8.462 || ETA: 1 day, 6:31:42 || timer: 0.427 || lr:5e-05:   0%|          | 2/957 [00:09<1:33:32,  5.88s/it] 
epoch:[  7] iteration:   7090 || Box: 2.664 | Class: 2.761 | Mask: 2.590 | Student: 0.446 | Total: 8.462 || ETA: 1 day, 6:31:42 || timer: 0.427 || lr:5e-05:   0%|          | 3/957 [00:09<1:07:26,  4.24s/it]
epoch:[  7] iteration:   7091 || Box: 2.694 | Class: 2.637 | Mask: 2.663 | Student: 0.528 | Total: 8.522 || ETA: 1 day, 3:39:47 || timer: 0.699 || lr:5e-05:   0%|          | 3/957 [00:10<1:07:26,  4.24s/it]
epoch:[  7] iteration:   7091 || Box: 2.694 | Class: 2.637 | Mask: 2.663 | Student: 0.528 | Total: 8.522 || ETA: 1 day, 3:39:47 || timer: 0.699 || lr:5e-05:   0%|          | 4/957 [00:10<50:29,  3.18s/it]  
epoch:[  7] iteration:   7092 || Box: 2.497 | Class: 2.468 | Mask: 2.560 | Student: 0.488 | Total: 8.013 || ETA: 1 day, 8:19:51 || timer: 1.477 || lr:5e-05:   0%|          | 4/957 [00:11<50:29,  3.18s/it]
epoch:[  7] iteration:   7092 || Box: 2.497 | Class: 2.468 | Mask: 2.560 | Student: 0.488 | Total: 8.013 || ETA: 1 day, 8:19:51 || timer: 1.477 || lr:5e-05:   1%|          | 5/957 [00:11<42:20,  2.67s/it]
epoch:[  7] iteration:   7093 || Box: 2.575 | Class: 2.505 | Mask: 2.792 | Student: 0.497 | Total: 8.369 || ETA: 1 day, 4:25:47 || timer: 0.409 || lr:5e-05:   1%|          | 5/957 [00:12<42:20,  2.67s/it]
epoch:[  7] iteration:   7093 || Box: 2.575 | Class: 2.505 | Mask: 2.792 | Student: 0.497 | Total: 8.369 || ETA: 1 day, 4:25:47 || timer: 0.409 || lr:5e-05:   1%|          | 6/957 [00:12<31:33,  1.99s/it]
epoch:[  7] iteration:   7094 || Box: 2.560 | Class: 2.737 | Mask: 3.147 | Student: 0.455 | Total: 8.899 || ETA: 1 day, 2:20:59 || timer: 0.509 || lr:5e-05:   1%|          | 6/957 [00:12<31:33,  1.99s/it]
epoch:[  7] iteration:   7094 || Box: 2.560 | Class: 2.737 | Mask: 3.147 | Student: 0.455 | Total: 8.899 || ETA: 1 day, 2:20:59 || timer: 0.509 || lr:5e-05:   1%|          | 7/957 [00:12<24:28,  1.55s/it]
epoch:[  7] iteration:   7095 || Box: 2.522 | Class: 2.727 | Mask: 3.211 | Student: 0.466 | Total: 8.925 || ETA: 1 day, 6:18:27 || timer: 1.724 || lr:5e-05:   1%|          | 7/957 [00:14<24:28,  1.55s/it]
epoch:[  7] iteration:   7095 || Box: 2.522 | Class: 2.727 | Mask: 3.211 | Student: 0.466 | Total: 8.925 || ETA: 1 day, 6:18:27 || timer: 1.724 || lr:5e-05:   1%|          | 8/957 [00:14<25:17,  1.60s/it]
epoch:[  7] iteration:   7096 || Box: 2.431 | Class: 2.605 | Mask: 3.192 | Student: 0.496 | Total: 8.724 || ETA: 1 day, 5:20:05 || timer: 0.718 || lr:5e-05:   1%|          | 8/957 [00:15<25:17,  1.60s/it]
epoch:[  7] iteration:   7096 || Box: 2.431 | Class: 2.605 | Mask: 3.192 | Student: 0.496 | Total: 8.724 || ETA: 1 day, 5:20:05 || timer: 0.718 || lr:5e-05:   1%|          | 9/957 [00:15<21:05,  1.33s/it]
epoch:[  7] iteration:   7097 || Box: 2.494 | Class: 2.637 | Mask: 3.187 | Student: 0.483 | Total: 8.801 || ETA: 1 day, 7:07:50 || timer: 1.451 || lr:5e-05:   1%|          | 9/957 [00:16<21:05,  1.33s/it]
epoch:[  7] iteration:   7097 || Box: 2.494 | Class: 2.637 | Mask: 3.187 | Student: 0.483 | Total: 8.801 || ETA: 1 day, 7:07:50 || timer: 1.451 || lr:5e-05:   1%|          | 10/957 [00:16<21:37,  1.37s/it]
epoch:[  7] iteration:   7098 || Box: 2.655 | Class: 2.652 | Mask: 3.139 | Student: 0.456 | Total: 8.902 || ETA: 1 day, 8:22:36 || timer: 1.390 || lr:5e-05:   1%|          | 10/957 [00:18<21:37,  1.37s/it]
epoch:[  7] iteration:   7098 || Box: 2.655 | Class: 2.652 | Mask: 3.139 | Student: 0.456 | Total: 8.902 || ETA: 1 day, 8:22:36 || timer: 1.390 || lr:5e-05:   1%|          | 11/957 [00:18<21:41,  1.38s/it]
epoch:[  7] iteration:   7099 || Box: 2.629 | Class: 2.653 | Mask: 3.171 | Student: 0.438 | Total: 8.890 || ETA: 1 day, 9:45:57 || timer: 1.520 || lr:5e-05:   1%|          | 11/957 [00:19<21:41,  1.38s/it]
epoch:[  7] iteration:   7099 || Box: 2.629 | Class: 2.653 | Mask: 3.171 | Student: 0.438 | Total: 8.890 || ETA: 1 day, 9:45:57 || timer: 1.520 || lr:5e-05:   1%|▏         | 12/957 [00:19<22:20,  1.42s/it]
epoch:[  7] iteration:   7100 || Box: 2.584 | Class: 2.632 | Mask: 3.088 | Student: 0.423 | Total: 8.728 || ETA: 1 day, 8:08:35 || timer: 0.456 || lr:5e-05:   1%|▏         | 12/957 [00:20<22:20,  1.42s/it]
epoch:[  7] iteration:   7100 || Box: 2.584 | Class: 2.632 | Mask: 3.088 | Student: 0.423 | Total: 8.728 || ETA: 1 day, 8:08:35 || timer: 0.456 || lr:5e-05:   1%|▏         | 13/957 [00:20<17:46,  1.13s/it]
epoch:[  7] iteration:   7101 || Box: 2.565 | Class: 2.688 | Mask: 3.146 | Student: 0.419 | Total: 8.818 || ETA: 1 day, 9:08:20 || timer: 1.438 || lr:5e-05:   1%|▏         | 13/957 [00:21<17:46,  1.13s/it]
epoch:[  7] iteration:   7101 || Box: 2.565 | Class: 2.688 | Mask: 3.146 | Student: 0.419 | Total: 8.818 || ETA: 1 day, 9:08:20 || timer: 1.438 || lr:5e-05:   1%|▏         | 14/957 [00:21<19:12,  1.22s/it]
epoch:[  7] iteration:   7102 || Box: 2.572 | Class: 2.622 | Mask: 3.028 | Student: 0.404 | Total: 8.626 || ETA: 1 day, 9:54:53 || timer: 1.403 || lr:5e-05:   1%|▏         | 14/957 [00:22<19:12,  1.22s/it]
epoch:[  7] iteration:   7102 || Box: 2.572 | Class: 2.622 | Mask: 3.028 | Student: 0.404 | Total: 8.626 || ETA: 1 day, 9:54:53 || timer: 1.403 || lr:5e-05:   2%|▏         | 15/957 [00:22<20:02,  1.28s/it]
epoch:[  7] iteration:   7103 || Box: 2.549 | Class: 2.582 | Mask: 3.009 | Student: 0.404 | Total: 8.543 || ETA: 1 day, 10:29:16 || timer: 1.356 || lr:5e-05:   2%|▏         | 15/957 [00:24<20:02,  1.28s/it]
epoch:[  7] iteration:   7103 || Box: 2.549 | Class: 2.582 | Mask: 3.009 | Student: 0.404 | Total: 8.543 || ETA: 1 day, 10:29:16 || timer: 1.356 || lr:5e-05:   2%|▏         | 16/957 [00:24<20:23,  1.30s/it]
epoch:[  7] iteration:   7104 || Box: 2.531 | Class: 2.540 | Mask: 3.019 | Student: 0.395 | Total: 8.486 || ETA: 1 day, 9:16:08 || timer: 0.478 || lr:5e-05:   2%|▏         | 16/957 [00:24<20:23,  1.30s/it] 
epoch:[  7] iteration:   7104 || Box: 2.531 | Class: 2.540 | Mask: 3.019 | Student: 0.395 | Total: 8.486 || ETA: 1 day, 9:16:08 || timer: 0.478 || lr:5e-05:   2%|▏         | 17/957 [00:24<16:30,  1.05s/it]
epoch:[  7] iteration:   7105 || Box: 2.527 | Class: 2.533 | Mask: 3.008 | Student: 0.395 | Total: 8.463 || ETA: 1 day, 8:04:02 || timer: 0.410 || lr:5e-05:   2%|▏         | 17/957 [00:25<16:30,  1.05s/it]
epoch:[  7] iteration:   7105 || Box: 2.527 | Class: 2.533 | Mask: 3.008 | Student: 0.395 | Total: 8.463 || ETA: 1 day, 8:04:02 || timer: 0.410 || lr:5e-05:   2%|▏         | 18/957 [00:25<13:27,  1.16it/s]
epoch:[  7] iteration:   7106 || Box: 2.568 | Class: 2.532 | Mask: 2.999 | Student: 0.401 | Total: 8.499 || ETA: 1 day, 8:42:07 || timer: 1.387 || lr:5e-05:   2%|▏         | 18/957 [00:26<13:27,  1.16it/s]
epoch:[  7] iteration:   7106 || Box: 2.568 | Class: 2.532 | Mask: 2.999 | Student: 0.401 | Total: 8.499 || ETA: 1 day, 8:42:07 || timer: 1.387 || lr:5e-05:   2%|▏         | 19/957 [00:26<15:55,  1.02s/it]
epoch:[  7] iteration:   7107 || Box: 2.590 | Class: 2.505 | Mask: 2.949 | Student: 0.393 | Total: 8.436 || ETA: 1 day, 7:39:03 || timer: 0.406 || lr:5e-05:   2%|▏         | 19/957 [00:26<15:55,  1.02s/it]
epoch:[  7] iteration:   7107 || Box: 2.590 | Class: 2.505 | Mask: 2.949 | Student: 0.393 | Total: 8.436 || ETA: 1 day, 7:39:03 || timer: 0.406 || lr:5e-05:   2%|▏         | 20/957 [00:26<13:02,  1.20it/s]
epoch:[  7] iteration:   7108 || Box: 2.573 | Class: 2.488 | Mask: 2.916 | Student: 0.383 | Total: 8.361 || ETA: 1 day, 6:43:04 || timer: 0.414 || lr:5e-05:   2%|▏         | 20/957 [00:27<13:02,  1.20it/s]
epoch:[  7] iteration:   7108 || Box: 2.573 | Class: 2.488 | Mask: 2.916 | Student: 0.383 | Total: 8.361 || ETA: 1 day, 6:43:04 || timer: 0.414 || lr:5e-05:   2%|▏         | 21/957 [00:27<11:03,  1.41it/s]
epoch:[  7] iteration:   7109 || Box: 2.582 | Class: 2.480 | Mask: 2.920 | Student: 0.377 | Total: 8.359 || ETA: 1 day, 7:22:34 || timer: 1.421 || lr:5e-05:   2%|▏         | 21/957 [00:28<11:03,  1.41it/s]
epoch:[  7] iteration:   7109 || Box: 2.582 | Class: 2.480 | Mask: 2.920 | Student: 0.377 | Total: 8.359 || ETA: 1 day, 7:22:34 || timer: 1.421 || lr:5e-05:   2%|▏         | 22/957 [00:28<14:22,  1.08it/s]
epoch:[  7] iteration:   7110 || Box: 2.575 | Class: 2.460 | Mask: 2.967 | Student: 0.377 | Total: 8.380 || ETA: 1 day, 6:34:17 || timer: 0.436 || lr:5e-05:   2%|▏         | 22/957 [00:29<14:22,  1.08it/s]
